Country/Region,Official travel advice,Embassy/consulate locator,Notes
Canada,https://travel.gc.ca,https://travel.gc.ca/assistance/embassies-consulates,Government of Canada official directory
United States,https://travel.state.gov,https://travel.state.gov/content/travel/en/consularnotification.html,U.S. consular resources + advisories
United Kingdom,https://www.gov.uk/foreign-travel-advice,https://www.gov.uk/world/embassies,UK FCDO embassy finder
Australia,https://www.smartraveller.gov.au,https://www.smartraveller.gov.au/consular-services/consulates,SmartTraveller consular directory
New Zealand,https://www.safetravel.govt.nz,https://www.safetravel.govt.nz/services/embassies,MFAT directory
European Union,https://europa.eu/youreurope/citizens/travel/assistance-consular/index_en.htm,https://europa.eu/youreurope/citizens/travel/assistance-consular/index_en.htm,EU consular protection guidance
